OBJECTID,SiteID,SiteName1,SiteName2,Region,SubRegion,Datum,Latitude,Longitude,SurveyYear,DateStart,DateFin,SpeciesID,NestPairs,Individuals,Eggs,LiveYoung,EmptyNests,Technique,ColSize,DataRef,ObserverID,LocDesc,GeorefPt,GazetteName,CorrespLoc,DataEntryPers,DateEntered,Notes
846,GI-070,Snake Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.21555556,-123.8905556,1999, , ,GWGU,204,,,,,Total count,0,"21, 35",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Northwest of Gabriola Island on the south side of Rainbow Channel,,Yes,Complete,williamsr,2008-05-29,
847,GI-070,Snake Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.21555556,-123.8905556,1999, , ,PECO,16,,,,,Total count,0,35,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Northwest of Gabriola Island on the south side of Rainbow Channel,,Yes,Complete,williamsr,2008-05-29,
848,GI-070,Snake Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.21555556,-123.8905556,2000, , ,PECO,41,,,,,Total Count,0,19,British Columbia Ministry of Environment,Northwest of Gabriola Island on the south side of Rainbow Channel,,Yes,Complete,williamsr,2008-05-29,
849,GI-076,Brandon Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.20694444,-123.9569444,1999,3/Jun/99,3/Jun/99,BLOY,4,,3,0,,Total count,0,35,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"On the north side of Departure Bay, east of Jesse Island",,Yes,Complete,williamsr,2008-05-29,
850,GI-076,Brandon Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.20694444,-123.9569444,1999, , ,GWGU,3,,,,,Total count,0,35,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"On the north side of Departure Bay, east of Jesse Island",,Yes,Complete,williamsr,2008-05-29,
851,GI-080,Newcastle Island - East Dock,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.18027778,-123.9288889,1976, , ,PIGU,,1,,,,Total Count,0,12,Royal British Columbia Provincial Museum,"East of Nanaimo; the main dock is at the southeast end of Newcastle Island, east of Mark Bay",,Yes,Part of,williamsr,2008-05-29,
852,GI-090,Gabriola Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.15583333,-123.8569444,1980, , ,GWGU,0,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"South of Descanso Bay, facing Northumberland Channel",,Yes,Part of,williamsr,2008-05-29,
853,GI-090,Gabriola Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.15583333,-123.8569444,1987, , ,PECO,0,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"South of Descanso Bay, facing Northumberland Channel",,Yes,Part of,williamsr,2008-05-29,
854,GI-090,Gabriola Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.15583333,-123.8569444,1987, , ,PIGU,,3,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"South of Descanso Bay, facing Northumberland Channel",,Yes,Part of,williamsr,2008-05-29,
855,GI-090,Gabriola Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.15583333,-123.8569444,2000, , ,PECO,62,,,,,Total Count,0,19,British Columbia Ministry of Environment,"South of Descanso Bay, facing Northumberland Channel",,Yes,Part of,williamsr,2008-05-29,
856,GI-100,Gabriola Island - East Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.16083333,-123.7277778,1977, , ,GWGU,1,,,,,Total Count,0,12,Royal British Columbia Provincial Museum,"Northeast side Gabriola Island, near the east end of the island, west of Law Point and Flat Top Islands",,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Gabriola Island Northeast Cliffs'
857,GI-100,Gabriola Island - East Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.16083333,-123.7277778,1977, , ,PECO,0,,,,,Total Count,0,12,Royal British Columbia Provincial Museum,"Northeast side Gabriola Island, near the east end of the island, west of Law Point and Flat Top Islands",,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Gabriola Island Northeast Cliffs'
858,GI-100,Gabriola Island - East Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.16083333,-123.7277778,1977, , ,PIGU,,4,,,,Total Count,0,12,Royal British Columbia Provincial Museum,"Northeast side Gabriola Island, near the east end of the island, west of Law Point and Flat Top Islands",,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Gabriola Island Northeast Cliffs'
859,GI-110,Carlos Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.15916667,-123.6969444,1978, , ,GWGU,1,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,Part of the Flat Top Islands at the southeast end of Gabriola Island,,Yes,Complete,williamsr,2008-05-29,
860,GI-120,Mudge Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.12805556,-123.7875,1978,15/Apr/78,31/Jul/78,BLOY,1,,,,,Total count,0,11,Royal British Columbia Provincial Museum,"Off the southwest side of Gabriola Island, east of Dodd Narrows at the northwest end of the De Courcy Group",(south cliffs),Yes,More than,williamsr,2008-05-29,
861,GI-120,Mudge Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.12805556,-123.7875,1978, , ,PIGU,,5,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"Off the southwest side of Gabriola Island, east of Dodd Narrows at the northwest end of the De Courcy Group",(south cliffs),Yes,More than,williamsr,2008-05-29,
862,GI-130,Round Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.11472222,-123.7955556,1981, , ,GWGU,3,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"North end of Stuart Channel, south of Mudge Island",(south rock),Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Round Rock'
863,GI-130,Round Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.11472222,-123.7955556,1981, , ,PIGU,,0,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"North end of Stuart Channel, south of Mudge Island",(south rock),Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Round Rock'
864,GI-140,Link Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.11611111,-123.7636111,1978, , ,PIGU,,10,,,,Total Count,0,11,Royal British Columbia Provincial Museum,In the De Courcy Group between Mudge and De Courcy islands,(west cliffs),Yes,Complete,williamsr,2008-05-29,
865,GI-150,De Courcy Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.09833333,-123.7458333,1978, , ,PECO,16,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"The nominate island in the De Courcy Group south of Gabriola Island, west of Valdes Island",(south cliffs),Yes,Complete,williamsr,2008-05-29,
866,GI-150,De Courcy Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.09833333,-123.7458333,1978, , ,PIGU,,2,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"The nominate island in the De Courcy Group south of Gabriola Island, west of Valdes Island",(south cliffs),Yes,Complete,williamsr,2008-05-29,
867,GI-150,De Courcy Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.09833333,-123.7458333,1986, , ,GWGU,2,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"The nominate island in the De Courcy Group south of Gabriola Island, west of Valdes Island",(south cliffs),Yes,Complete,williamsr,2008-05-29,
868,GI-160,Valdes Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.10555556,-123.7027778,1981, , ,GWGU,4,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,Western shoreline of Valdes Island between Dibuxante Point and Blackberry Point,,Yes,Part of,williamsr,2008-05-29,
869,GI-160,Valdes Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.10555556,-123.7027778,1987, , ,PECO,0,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Western shoreline of Valdes Island between Dibuxante Point and Blackberry Point,,Yes,Part of,williamsr,2008-05-29,
870,GI-160,Valdes Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.10555556,-123.7027778,1987, , ,PIGU,,0,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Western shoreline of Valdes Island between Dibuxante Point and Blackberry Point,,Yes,Part of,williamsr,2008-05-29,
871,GI-160,Valdes Island - West Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.10555556,-123.7027778,2000, , ,PECO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,Western shoreline of Valdes Island between Dibuxante Point and Blackberry Point,,Yes,Part of,williamsr,2008-05-29,
872,GI-170,Ruxton Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.07583333,-123.7063889,1986, , ,GWGU,3,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Towards the southeast end of the De Courcy Group, west of Valdes Island",(west cliffs),Yes,Complete,williamsr,2008-05-29,
873,GI-170,Ruxton Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.07583333,-123.7063889,1987,5/Jun/87,23/Jun/87,BLOY,1,,,,,Total count,0,16,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Towards the southeast end of the De Courcy Group, west of Valdes Island",(west cliffs),Yes,Complete,williamsr,2008-05-29,
874,GI-180,Tree Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.06083333,-123.6977778,1978,15/Apr/78,31/Jul/78,BLOY,1,,,,,Total count,0,11,Royal British Columbia Provincial Museum,Southwest of Pylades Island at the south end of the De Courcy Group,,Yes,Complete,williamsr,2008-05-29,
875,GI-180,Tree Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.06083333,-123.6977778,1978, , ,GWGU,2,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,Southwest of Pylades Island at the south end of the De Courcy Group,,Yes,Complete,williamsr,2008-05-29,
876,GI-190,Miami Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.03722222,-123.7094444,1981,15/Apr/81,31/Jul/81,BLOY,0,,0,0,,Total count,0,11,Royal British Columbia Provincial Museum,"East of Yellow Point on Vancouver Island, north of Fraser Point on Thetis Island",,Yes,Complete,williamsr,2008-05-29,
877,GI-190,Miami Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.03722222,-123.7094444,1986, , ,GWGU,38,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Yellow Point on Vancouver Island, north of Fraser Point on Thetis Island",,Yes,Complete,williamsr,2008-05-29,
878,GI-190,Miami Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.03722222,-123.7094444,1987, , ,PIGU,,0,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Yellow Point on Vancouver Island, north of Fraser Point on Thetis Island",,Yes,Complete,williamsr,2008-05-29,
879,GI-200,Ragged Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02638889,-123.6961111,1981,15/Apr/81,31/Jul/81,BLOY,1,,,,,Total count,0,11,Royal British Columbia Provincial Museum,Northwest of Pilkey Point at the north end of Thetis Island,,Yes,Complete,williamsr,2008-05-29,
880,GI-200,Ragged Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02638889,-123.6961111,1986, , ,GWGU,69,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Northwest of Pilkey Point at the north end of Thetis Island,,Yes,Complete,williamsr,2008-05-29,
881,GI-200,Ragged Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02638889,-123.6961111,1987, , ,PIGU,,2,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Northwest of Pilkey Point at the north end of Thetis Island,,Yes,Complete,williamsr,2008-05-29,
882,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1986, , ,GWGU,116,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
883,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1987,5/Jun/87,23/Jun/87,BLOY,3,,,,,Total count,0,16,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
884,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1987, , ,DCCO,2,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
885,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1987, , ,PECO,0,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
886,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1987, , ,PIGU,,0,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
887,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,1999, , ,DCCO,6,,,,,Total Count,0,19,British Columbia Ministry of Environment,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
888,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,2000, , ,DCCO,15,,,,,Total Count,0,19,British Columbia Ministry of Environment,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
889,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,2000, , ,PECO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
890,GI-210,Rose Islets,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.00805556,-123.6438889,2005,16/Jun/05,16/Jun/05,BLOY,0,,0,0,,Total count,0,52,Parks Canada - Gulf Islands National Park,"Off the northwest end of Reid Island, east of Thetis Island",,Yes,Complete,williamsr,2008-05-29,
891,GI-220,Canoe Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02805556,-123.5886111,1986, , ,GWGU,56,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"North of Porlier Pass, east of the south tip of Valdes Island",,Yes,Complete,williamsr,2008-05-29,
892,GI-220,Canoe Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02805556,-123.5886111,1987,5/Jun/87,23/Jun/87,BLOY,1,,,,,Total count,0,16,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"North of Porlier Pass, east of the south tip of Valdes Island",,Yes,Complete,williamsr,2008-05-29,
893,GI-220,Canoe Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02805556,-123.5886111,1987, , ,DCCO,0,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"North of Porlier Pass, east of the south tip of Valdes Island",,Yes,Complete,williamsr,2008-05-29,
894,GI-220,Canoe Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02805556,-123.5886111,2000, , ,DCCO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,"North of Porlier Pass, east of the south tip of Valdes Island",,Yes,Complete,williamsr,2008-05-29,
895,GI-220,Canoe Islet,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,49.02805556,-123.5886111,2005,16/Jun/05,16/Jun/05,BLOY,0,,0,0,,Total count,0,52,Parks Canada - Gulf Islands National Park,"North of Porlier Pass, east of the south tip of Valdes Island",,Yes,Complete,williamsr,2008-05-29,
896,GI-230,Galiano Island - North Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9725,-123.5630556,1979,, ,PECO,24,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,Southeast of Spotlight Cove to Shaw痴 Landing,,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Galiano Cliffs North'
897,GI-230,Galiano Island - North Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9725,-123.5630556,1986, , ,GWGU,6,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Spotlight Cove to Shaw痴 Landing,,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Galiano Cliffs North'
898,GI-230,Galiano Island - North Cliffs,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9725,-123.5630556,1987, , ,PIGU,,26,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Spotlight Cove to Shaw痴 Landing,,Yes,Part of,williamsr,2008-05-29,SiteName1 - Source Document 'Galiano Cliffs North'
899,GI-240,"""Preedy"" Rocks",,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9675,-123.6755556,1978,15/Apr/78,31/Jul/78,BLOY,1,,,,,Total count,0,11,Royal British Columbia Provincial Museum,At the south entrance to Preedy Harbour between Hudson Island and Foster Point at the south end of Thetis Island,,No,None,williamsr,2008-05-29,
900,GI-240,"""Preedy"" Rocks",,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9675,-123.6755556,1978, , ,GWGU,2,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,At the south entrance to Preedy Harbour between Hudson Island and Foster Point at the south end of Thetis Island,,No,None,williamsr,2008-05-29,
901,GI-250,Augustus Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.945,-123.6527778,1981, , ,PECO,0,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,On the southwest shore of Penelakut Island (formerly Kuper Island) facing Stuart Channel,,Yes,Complete,williamsr,2008-05-29,
902,GI-250,Augustus Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.945,-123.6527778,1981, , ,PIGU,,16,,,,Total Count,0,11,Royal British Columbia Provincial Museum,On the southwest shore of Penelakut Island (formerly Kuper Island) facing Stuart Channel,,Yes,Complete,williamsr,2008-05-29,
903,GI-250,Augustus Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.945,-123.6527778,1986, , ,GWGU,8,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,On the southwest shore of Penelakut Island (formerly Kuper Island) facing Stuart Channel,,Yes,Complete,williamsr,2008-05-29,
904,GI-260,Wallace Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.93861111,-123.55,1978, , ,PIGU,,2,,,,Total Count,0,11,Royal British Columbia Provincial Museum,Trincomali Channel between Galiano Island and the north end of Saltspring Island,(west cliffs),Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Wallace Island (West End Rock)'
905,GI-260,Wallace Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.93861111,-123.55,1986, , ,GWGU,3,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Trincomali Channel between Galiano Island and the north end of Saltspring Island,(west cliffs),Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Wallace Island (West End Rock)'
906,GI-260,Wallace Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.93861111,-123.55,2005,16/Jun/05,16/Jun/05,BLOY,1,,0,1,,Total count,0,52,Parks Canada - Gulf Islands National Park,Trincomali Channel between Galiano Island and the north end of Saltspring Island,(west cliffs),Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Wallace Island (West End Rock)'
907,GI-270,Tent Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.925,-123.6302778,1986, , ,GWGU,12,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Tidally connected to Josling Point at the south tip of Penelakut (formerly Kuper) Island,(west cliffs),Yes,Complete,williamsr,2008-05-29,
908,GI-270,Tent Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.925,-123.6302778,1987, , ,PECO,74,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Tidally connected to Josling Point at the south tip of Penelakut (formerly Kuper) Island,(west cliffs),Yes,Complete,williamsr,2008-05-29,
909,GI-270,Tent Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.925,-123.6302778,1987, , ,PIGU,,2,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Tidally connected to Josling Point at the south tip of Penelakut (formerly Kuper) Island,(west cliffs),Yes,Complete,williamsr,2008-05-29,
910,GI-270,Tent Island,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.925,-123.6302778,2000, , ,PECO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,Tidally connected to Josling Point at the south tip of Penelakut (formerly Kuper) Island,(west cliffs),Yes,Complete,williamsr,2008-05-29,
911,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1986, , ,GWGU,5,,,,,Total Count,0,14,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
912,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1987, , ,DCCO,0,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
913,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1987, , ,PECO,142,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
914,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1987, , ,PIGU,,6,,,,Total Count,0,15,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
915,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1990, , ,DCCO,18,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
916,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1990, , ,PECO,40,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
917,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1996, , ,DCCO,23,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
918,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1998, , ,DCCO,19,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
919,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1998, , ,PECO,26,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
920,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1999, , ,DCCO,11,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
921,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,1999, , ,PECO,8,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
922,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,2000, , ,DCCO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
923,GI-280,Bare Point,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.92777778,-123.7063889,2000, , ,PECO,0,,,,,Total Count,0,19,British Columbia Ministry of Environment,Point forming the east side of Chemainus Bay opposite the town of Chemainus,,Yes,Complete,williamsr,2008-05-29,
924,GI-290,Shoal Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9,-123.6666667,1978,15/Apr/78,31/Jul/78,BLOY,1,,,,,Total count,0,11,Royal British Columbia Provincial Museum,"Close to the Vancouver Island shore south of Chemainus, just north of the town of Crofton",,Yes,More than,williamsr,2008-05-29,
925,GI-290,Shoal Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9,-123.6666667,1978, , ,GWGU,1,,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"Close to the Vancouver Island shore south of Chemainus, just north of the town of Crofton",,Yes,More than,williamsr,2008-05-29,SiteName1 - Source Document 'Osborn Bay'
926,GI-290,Shoal Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9,-123.6666667,1978, , ,PIGU,,2,,,,Total Count,0,11,Royal British Columbia Provincial Museum,"Close to the Vancouver Island shore south of Chemainus, just north of the town of Crofton",,Yes,More than,williamsr,2008-05-29,
927,GI-290,Shoal Islands,,Vancouver Island,Gulf Islands - Southern Strait of Georgia,NAD83,48.9,-123.6666667,1987, , ,DCCO,65,,,,,Total Count,0,17,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Close to the Vancouver Island shore south of Chemainus, just north of the town of Crofton",,Yes,More than,williamsr,2008-05-29,
