location_name,location_index,location_midpoint_lng,location_midpoint_lat,location_comments,survey_start_year,survey_start_month,survey_start_day,survey_end_year,survey_end_month,survey_end_day,survey_time,survey_comments,personnel_list,sponsor_list,document_list,species_common_name,species_abundance,site_use,data_quality,breeding_individuals,total_individuals,count_conversions,best_current_value,status_record_comments,,,,,,,,,,,,,,
Aux Triangle,AK Map 34 Site 74,-153.8561,57.6947,,1997,8,17,1997,8,17,,,"Gary Johnson, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding and Roosting,Fair,,95,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Aux Triangle,AK Map 34 Site 74,-153.8561,57.6947,,2002,6,19,2002,6,19,,,"Leslie Slater, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Unspecified,Fair,,25,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Avatanak Island,AK Map 24 Site 2,-165.3347,54.0767,,1972,,,1972,,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Poor,,50000,,TRUE,Probably not from Avatanak  - Sekora est. based on birds on water.,,,,,,,,,,,,,,
Avnulu Creek,AK Map 34 Site 2,-153.5767,57.09359,,1957,,,1957,,,,,Calvin Lensink,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Avnulu Creek,AK Map 34 Site 2,-153.5767,57.09359,,1976,7,14,1976,7,14,,,"Patrick Gould, Kevin Powers",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,10,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,,,,,,,,,,,,,,,
Avnulu Creek,AK Map 34 Site 2,-153.5767,57.09359,,1993,6,20,1993,6,20,,,"Gary Johnson, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Fair,,,Literal (equal to census data value),FALSE,"None observed, but 10 in 1976.",,,,,,,,,,,,,,
Avnulu Creek,AK Map 34 Site 2,-153.5767,57.09359,,2001,6,20,2001,6,20,,"Colony inactive, no breeding birds.","Rebecca Howard, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, R.J. Howard. 2002. Seabird colony survey of south and east Kodiak Island, Alaska, June 2001",Tufted Puffin,Present,Unspecified,Fair,,0,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Ayakulik Island,AK Map 35 Site 1,-154.58419,57.2161,,1978,7,21,1978,7,21,,,"David Nysewander, Arthur Sowls",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,50,,FALSE,,,,,,,,,,,,,,,
Ayakulik Island,AK Map 35 Site 1,-154.58419,57.2161,,2002,6,20,2002,6,20,,,"Leslie Slater, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Breeding,Fair,,378,Literal (equal to census data value),TRUE,"Counted 257 birds on water, 121 on land.",,,,,,,,,,,,,,
Aziak Island,AK Map 17 Site 42,-176.15535,51.95302,,1980,6,26,1980,6,26,,,"Tom Early, Kent Hall, Bev Minn",,"Early, T.. 1981. Results of a bird and mammal survey in the central Aleutian Islands, summer 1980",Tufted Puffin,Unspecified,Breeding,Fair,636,,2x census data value,TRUE,Pair = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Bald Triangle Island,AK Map 43 Site 55,-152.27502,58.49999,,1976,7,25,1976,7,25,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,60,Literal (equal to census data value),TRUE,"4 birds counted, observer adjusted estimate.",,,,,,,,,,,,,,
"Ball, Bass Island",AK Map 63 Site 117,-147.385,60.61717,,1993,6,11,1993,6,11,,Special PIGU Survey.  Censused during peak colony attendance indicated by courtship displays and site-attachment behavior.  1993 Field No 03030.,"John Maniscalco, Kathleen Roush",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,7,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Barabara Cove,AK Map 34 Site 27,-152.90624,57.81742,,1975,8,14,1975,8,14,,,Matthew Dick,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,20,,2x census data value,TRUE,,,,,,,,,,,,,,,
Barwell Island,AK Map 49 Site 41,-149.27691,59.85919,,1976,6,,1976,6,,,,Edgar Bailey,,"Bailey, E.P.. 1977. Distribution and abundance of marine birds and mammals along the south side of the Kenai Peninsula, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,600,,2x census data value,TRUE,,,,,,,,,,,,,,,
Bass Harbor - W. Naked I.,AK Map 63 Site 52,-147.4489,60.62109,,1984,6,8,1984,6,8,,,"Michonna Brooks, David Irons <david_irons@fws.gov>, Kenton Wohl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,233,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,,,,,,,,,,,,,,,
Bass Harbor - W. Naked I.,AK Map 63 Site 52,-147.4489,60.62109,,2000,7,10,2000,7,10,,from boat 50-100 m offshore.,"Rebecca Howard, Bill Ostrand, Shawn Stephensen",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Fair,,600,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bear Island,AK Map 35 Site 18,-154.03639,57.6619,,1976,8,11,1976,8,11,,,"David Frazer, Arthur Sowls",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,24,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,,,,,,,,,,,,,,,
Bear Island,AK Map 43 Site 144,-152.68917,58.4435,,1992,6,24,1992,6,24,,"Special pigeon guillemot survey. Censused during peak colony attendance indicated by courtship displays and site-attachment behavior. 1992 field #36 & 40 combined. #36--south side, #40--east side of B","Janey Fadely, Brian Fadely, Bonnie Grey",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,10,,2x census data value,TRUE,Burrows observed.,,,,,,,,,,,,,,
Bear Island,AK Map 35 Site 18,-154.03639,57.6619,,2002,6,20,2002,6,20,,"Colony inactive, no breeding birds.  Many people, set nets, buildings, and disturbance.","Leslie Slater, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Unspecified,Fair,,1,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Beehive Island,AK Map 49 Site 26,-149.60941,59.6186,,1976,6,,1976,6,,,,Edgar Bailey,,"Bailey, E.P.. 1977. Distribution and abundance of marine birds and mammals along the south side of the Kenai Peninsula, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,11000,,2x census data value,TRUE,,,,,,,,,,,,,,,
Beehive Island,AK Map 49 Site 26,-149.60941,59.6186,,1986,7,7,1986,7,7,,Survey subunit # 907.,"Mike Nishimoto, Bud Rice",,"Nishimoto, M., and B. Rice. 1987. A re-survey of seabirds and marine mammals along the south coast of the Kenai Peninsula, Alaska during the summer of 1986",Tufted Puffin,Unspecified,Breeding,Fair,,650,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Beluga Hill,AK Map 53 Site 4,-161.73168,59.11392,,,,,,,,,,David Roseneau,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,,,TRUE,,,,,,,,,,,,,,,
Ben Triangle & West Island,AK Map 43 Site 91,-152.54671,58.46499,,1976,7,17,1976,7,17,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,170,,FALSE,,,,,,,,,,,,,,,
Ben Triangle & West Island,AK Map 43 Site 91,-152.54671,58.46499,,1992,6,24,1992,6,24,,1992 field #'s 46 & 47 combined.,"Janey Fadely, Brian Fadely, Bonnie Grey",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Fair,,,,TRUE,"Not mentioned by observer, but 170 in 1976.",,,,,,,,,,,,,,
Bendel Island,AK Map 27 Site 8,-159.79151,55.07695,,1977,,,1977,,,,,"Edgar Bailey, Nina Faust",,"Bailey, E.P.. 1978. Breeding seabird distribution and abundance in the Shumagin Islands, Alaska",Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Besboro Island,AK Map 96 Site 2,-161.30559,64.1264,,1973,6,16,1973,6,16,,,"James Bartonek, David Cline",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Besboro Island,AK Map 96 Site 2,-161.30559,64.1264,,1984,7,16,1984,7,16,,,"G Byrd <vernon_byrd@fws.gov>, Laura Hoffman, Gary Lyon, Mike Nishimoto",,"Byrd, G.V.. 1984. Observations of flora and fauna in the Bering Sea Unit, Alaska Maritime NWR in July 1984",Tufted Puffin,Unspecified,Unspecified,Fair,,20,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,,,,,,,,,,,,,,,
Biali Rocks,AK Map 5 Site 2,-135.33471,56.70969,,1981,6,29,1981,6,29,,,"Jay Nelson, David Nysewander, Arthur Sowls, John Trapp",,"Sowls, A.L., D.R. Nysewander, J.L. Trapp, and J.W. Nelson. 1982. Marine bird and mammal survey of the outer coast of southeast Alaska, summer 1981",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,60,,2x census data value,TRUE,Minimum estimate.,,,,,,,,,,,,,,
Biali Rocks,AK Map 5 Site 2,-135.33471,56.70969,,1994,6,21,1994,6,21,,,"Janey Fadely, Steve Kendall, Bill Stahl",,"Seiser, P.E., and S.J. Kendall. 1994. Southeast Alaska marine bird and mammal survey, 1994 summer colony reports",Tufted Puffin,Present,Breeding,Fair,,5,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Big Bay,AK Map 43 Site 83,-152.65151,58.55356,,1976,7,27,1976,7,27,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,30,Literal (equal to census data value),TRUE,"Estimate, not actual count.",,,,,,,,,,,,,,
Bird Island,AK Map 26 Site 1,-159.7594,54.82169,,1973,6,11,1973,6,11,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Rare,Unspecified,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bird Island,AK Map 25 Site 23,-163.28828,54.66999,,1973,6,24,1973,6,24,,,G Byrd <vernon_byrd@fws.gov>,,"Byrd, G.V.. 1973. Expedition to Bogoslof and Amak Islands with notes on other eastern Aleutian Islands: June 24- July 8, 1973",Tufted Puffin,Unspecified,Unspecified,Fair,,20,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,,,,,,,,,,,,,,,
Bird Island,AK Map 34 Site 89,-152.36891,57.78389,,1975,6,23,1975,6,23,,,"Matthew Dick, Richard MacIntosh",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,30,,2x census data value,FALSE,,,,,,,,,,,,,,,
Bird Island,AK Map 26 Site 1,-159.7594,54.82169,,1977,7,,1977,7,,,,"Edgar Bailey, Nina Faust",,"Bailey, E.P.. 1978. Breeding seabird distribution and abundance in the Shumagin Islands, Alaska",Tufted Puffin,Unspecified,Breeding,Unknown,,16000,,FALSE,,,,,,,,,,,,,,,
Bird Island,AK Map 34 Site 89,-152.36891,57.78389,,1989,8,13,1989,8,13,,,Richard MacIntosh,,"MacIntosh, R.. 1989. Survey of seabird colonies in inner Chiniak Bay, August, 1989",Tufted Puffin,Unspecified,Breeding,Fair,,40,Literal (equal to census data value),TRUE,"Estimate, not exact count.",,,,,,,,,,,,,,
Bird Island,AK Map 26 Site 1,-159.7594,54.82169,,1990,7,9,1990,7,9,,Census after fox removal. Joint U.S.-U.S.S.R. Seabird Investigation,"Scott Hatch, Alexander Kondratyev, Aleksei Pinchuk",,"Hatch, S.A.. 1990. Cruise report: joint U.S.-U.S.S.R. seabird investigations aboard the U.S. Fish and Wildlife Service M/V Tiglax, 6-19 July 1990",Tufted Puffin,Present,Unspecified,Fair,,,Literal (equal to census data value),TRUE,"none observed, but 1,600 in 1977",,,,,,,,,,,,,,
Bird Island,AK Map 34 Site 89,-152.36891,57.78389,,1992,8,11,1992,8,11,,,"Mary Cody, Dennis Zwiefelhofer",,"Zwiefelhoffer, D.C. and M.B. Cody. 1992. Unpublished Data",Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),FALSE,"Birds on water, but no evidence of nesting.",,,,,,,,,,,,,,
Bird Rock,AK Map 39 Site 4,-162.13329,58.66609,,1973,7,14,1973,7,14,,,"James Bartonek, George Divoky",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Fair,,5000,,TRUE,,,,,,,,,,,,,,,
Bird Rock,AK Map 34 Site 19,-153.9003,57.69469,,1976,8,10,1976,8,10,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,1530,Literal (equal to census data value),FALSE,"829 birds counted, observer adjusted estimate.",,,,,,,,,,,,,,
Bird Rock,AK Map 34 Site 19,-153.9003,57.69469,,1995,8,2,1995,8,2,,,"Gary Johnson, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding and Roosting,Fair,,736,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bird Rock,AK Map 34 Site 19,-153.9003,57.69469,,1996,8,11,1996,8,11,,,"Gary Johnson, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding and Roosting,Fair,,15,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bird Rock,AK Map 34 Site 19,-153.9003,57.69469,,1997,8,17,1997,8,17,,,"Gary Johnson, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding and Roosting,Fair,,231,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bird Rock,AK Map 34 Site 19,-153.9003,57.69469,,2002,6,19,2002,6,19,,,"Leslie Slater, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Breeding,Fair,,154,Literal (equal to census data value),TRUE,"Counted 72 birds on land, 82 on water.",,,,,,,,,,,,,,
Black Bay,AK Map 50 Site 35,-150.18081,59.53999,,1976,6,19,1976,7,14,,Entire census conducted 19 June to 14 July 1976.,Edgar Bailey,,"Bailey, E.P.. 1976. Breeding seabird distribution and abundance along the south side of the Kenai Peninsula, Alaska",Tufted Puffin,Unspecified,Breeding,Fair,140,,2x census data value,TRUE,,,,,,,,,,,,,,,
Black Cape,AK Map 21 Site 10,-168.68029,52.9481,,1980,7,31,1980,7,31,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Unspecified,Fair,13000,,2x census data value,TRUE,,,,,,,,,,,,,,,
Black Cove Island,AK Map 91 Site 5,-161.1385,63.52863,,1976,6,,1976,6,,,,Jerry Ruehle,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,2,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,"Pair of tufted puffins seen, but many burrows present.",,,,,,,,,,,,,,
Black Rock,AK Map 39 Site 27,-160.19058,58.70859,,1977,6,18,1977,6,18,,,"Paul Arneson, David Mcdonald",,"Arneson, P.D.. 1977. Identification, documentation and delineation of coastal migratory bird habitat in Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,10,Literal (equal to census data value),TRUE,3 counted on cliff,,,,,,,,,,,,,,
Blodgett Island,AK Map 34 Site 86,-152.4903,57.7211,,1991,8,23,1991,8,23,,,Richard MacIntosh,,"MacIntosh, R.R.. 1991. Survey of seabird colonies in Chiniak Bay, Kodiak Island, Alaska, June - August, 1991",Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Blow Triangle,AK Map 34 Site 30,-152.43795,57.83159,,1975,7,18,1975,7,18,,,"Matthew Dick, Irving Warner",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,92,,2x census data value,FALSE,,,,,,,,,,,,,,,
Blow Triangle,AK Map 34 Site 30,-152.43795,57.83159,,2002,7,1,2002,7,1,,,Dennis Zwiefelhofer,,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Breeding,Fair,,26,Literal (equal to census data value),TRUE,Count on water and land.,,,,,,,,,,,,,,
Bluefox Bay Islets,AK Map 43 Site 93,-152.67861,58.43431,,1976,7,16,1976,7,16,,Original site included another island (G). Island was separated from site because of location. See site #143.,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,60,,FALSE,,,,,,,,,,,,,,,
Bluefox Bay Islets,AK Map 43 Site 93,-152.67861,58.43431,,1992,6,24,1992,6,24,,Special pigeon guillemot survey. Censused during peak colony attendance indicated by courtship displays and site-attachment behavior. 1992 field #38.,"Brian Fadely, Janey Fadely, Bonnie Grey",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,23,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Bluff,AK Map 95 Site 5,-163.72858,64.57012,,1973,6,23,1973,6,23,,,"James Bartonek, David Cline",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bluff,AK Map 95 Site 5,-163.72858,64.57012,,1975,,,1975,,,,,William Drury,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,10,"Observer provided a range (e.g. ""100 to 250"").  Catalog data are midpoint of range.",FALSE,,,,,,,,,,,,,,,
Bluff,AK Map 95 Site 5,-163.72858,64.57012,,1976,,,1976,,,,,William Drury,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,5,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bluff,AK Map 95 Site 5,-163.72858,64.57012,,1979,7,29,1979,7,29,,,"Edward Murphy, G. Murphy, A. Watson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding and Roosting,Good,,0,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Bluff,AK Map 95 Site 5,-163.72858,64.57012,,1980,7,22,1980,7,22,,,"A.D. McGuire, Edward Murphy, M. Springer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Good,,98,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Bluff Point,AK Map 27 Site 15,-159.72294,55.5729,,1973,6,8,1973,6,8,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,3000,,TRUE,,,,,,,,,,,,,,,
Bluff Triangle,AK Map 93 Site 18,-170.04778,63.52029,,1996,7,18,1996,7,18,,Censused from 17ft inflatable 20-50 meters offshore. Divided cliffs into sections for easier counting.,"Spring Chesley, Caleb Pungowiyi, Gladys Pungowiyi, Shawn Stephensen, Wells Stephensen",,"Stephensen, S.W., C. Pungowiyi, and V.M. Mendenhall. 1998. A seabird survey of Saint Lawrence Island, Alaska 1996-1997, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,210,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,Minimum count.,,,,,,,,,,,,,,
Bobrof Island,AK Map 17 Site 5,-177.44408,51.90651,,1972,6,,1972,6,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,8500,"Observer provided a range (e.g. ""100 to 250"").  Catalog data are midpoint of range.",FALSE,,,,,,,,,,,,,,,
Bobrof Island,AK Map 17 Site 5,-177.44408,51.90651,,1977,7,9,1977,7,9,,,"Robert Day, Tom Early, Eric Knudtson",,"Day, R.H., T.J. Early, and E.P. Knudtson. 1978. A bird and mammal survey of the west-central Aleutians, summer, 1977",Tufted Puffin,Unspecified,Breeding,Fair,600,,2x census data value,TRUE,,,,,,,,,,,,,,,
Bogoslof Island,AK Map 22 Site 3,-168.03663,53.9325,,1973,6,29,1973,6,29,,,"Edgar Bailey, G Byrd <vernon_byrd@fws.gov>, George Divoky",,"Byrd, G.V.. 1973. Expedition to Bogoslof and Amak Islands with notes on other eastern Aleutian Islands: June 24- July 8, 1973",Tufted Puffin,Unspecified,Breeding,Fair,5000,,2x census data value,FALSE,Estimate derived from burrow count.,,,,,,,,,,,,,,
Bogoslof Island,AK Map 22 Site 3,-168.03663,53.9325,,1994,7,20,1994,8,5,,Census period: July 20-23 and Aug 5.,"G Byrd <vernon_byrd@fws.gov>, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1994. Status and trends of seabirds and marine mammals at Bogoslof Island, Alaska, a National Natural Landmark",Tufted Puffin,Unspecified,Breeding,Fair,10000,,Manager adjusted observer's data another way.  (See footnote.),TRUE,Burrow density doubled in fixed transects compared to 1973.  Manager multiplied 1973 estimate by 2.,,,,,,,,,,,,,,
Bogoslof Island,AK Map 22 Site 3,-168.03663,53.9325,,1999,7,31,1999,8,1,,"Census period 7/31 - 8/1.  Partial survey - area segments 1-3, 11, & part of the new mtn not surveyed.  Minimal counts.","G Byrd <vernon_byrd@fws.gov>, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1999. Wildlife surveys at Bogoslof and Fire Islands, Alaska in 1999",Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,"Counted 262 burrows on a 5 strip transect, 86% occupied.",,,,,,,,,,,,,,
Bold Cape,AK Map 29 Site 6,-162.24121,55.0247,,1976,6,6,1976,6,6,,,James Bartonek,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Boswell Rocks,AK Map 64 Site 12,-146.10171,60.4103,,1972,7,21,1972,7,21,,,"M. Isleib, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,60,,2x census data value,FALSE,Susupected breeding not confirmed by later observers.,,,,,,,,,,,,,,
Boswell Rocks,AK Map 64 Site 12,-146.10171,60.4103,,1986,7,,1986,7,,,,Pete Mickelson,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,60,Manager adjusted observer's data another way.  (See footnote.),TRUE,"Max. number on water near colony on several days in 6-7/86, x 2.",,,,,,,,,,,,,,
Boussole Head,AK Map 10 Site 2,-136.91994,58.3811,,1974,7,,1974,7,,,,Samuel Patten,,"Patten, S. and R. Patten. 1975. A marine bird survey of the Dixon Harbor area, Glacier Bay Natl. Monument, Gustavus, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,80,,2x census data value,FALSE,"44 birds counted, nest # estimated.",,,,,,,,,,,,,,
Boussole Head,AK Map 10 Site 2,-136.91994,58.3811,,1981,6,9,1981,6,9,,,"David Nysewander, Phil Schempf, Arthur Sowls",,"Sowls, A.L., D.R. Nysewander, J.L. Trapp, and J.W. Nelson. 1982. Marine bird and mammal survey of the outer coast of southeast Alaska, summer 1981",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,50,,TRUE,,,,,,,,,,,,,,,
