ID,USFWSGroupedColonyCode,USFWSColonyCode,CCN,ColonyName,SubColonyName,FullColonyName,County,ColonyType,LocationComments,Longitude,Latitude,Island,Jurisdiction,SubRegion
336,379-030,379-030-08,ME-390-09,Cavanaugh Cove to Gunderson Rock,8,Cavanaugh Cove to Gunderson Rock-8,Mendocino,Subcolony,,-123.72785100000,39.13650899970,,,Northern California
337,379-030,379-030-09,ME-390-09,Cavanaugh Cove to Gunderson Rock,9,Cavanaugh Cove to Gunderson Rock-9,Mendocino,Subcolony,,-123.72135700000,39.13484300010,,,Northern California
338,379-030,379-030-10,ME-390-09,Cavanaugh Cove to Gunderson Rock,10,Cavanaugh Cove to Gunderson Rock-10,Mendocino,Subcolony,,-123.71973400000,39.13088200030,,,Northern California
339,379-030,379-030-11,ME-390-09,Cavanaugh Cove to Gunderson Rock,11,Cavanaugh Cove to Gunderson Rock-11,Mendocino,Subcolony,,-123.72079400000,39.12586099990,,BLM,Northern California
340,379-030,379-030-12,ME-390-09,Cavanaugh Cove to Gunderson Rock,12,Cavanaugh Cove to Gunderson Rock-12,Mendocino,Subcolony,,-123.72246100000,39.12529799990,,,Northern California
341,379-030,379-030-99,ME-390-09,Cavanaugh Cove to Gunderson Rock,99,Cavanaugh Cove to Gunderson Rock Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.73850000000,39.14021000000,,,Northern California
342,379-031,379-031-01,ME-390-12,Bonee Cliffs,1,Bonee Cliffs-1,Mendocino,Subcolony,,-123.72017200000,39.12249799970,,,Northern California
343,379-031,379-031-02,ME-390-12,Bonee Cliffs,2,Bonee Cliffs-2,Mendocino,Subcolony,,-123.71303300000,39.11453800010,,,Northern California
344,379-031,379-031-03,ME-390-12,Bonee Cliffs,3,Bonee Cliffs-3,Mendocino,Subcolony,,-123.71436600000,39.11427099990,,,Northern California
345,379-031,379-031-04,ME-390-12,Bonee Cliffs,4,Bonee Cliffs-4,Mendocino,Subcolony,,-123.71494100000,39.11394299970,,,Northern California
346,379-031,379-031-05,ME-390-12,Bonee Cliffs,5,Bonee Cliffs-5,Mendocino,Subcolony,,-123.71469400000,39.11189200000,,,Northern California
347,379-031,379-031-06,ME-390-12,Bonee Cliffs,6,Bonee Cliffs-6,Mendocino,Subcolony,,-123.71531000000,39.10955300020,,BLM,Northern California
348,379-031,379-031-07,ME-390-12,Bonee Cliffs,7,Bonee Cliffs-7,Mendocino,Subcolony,,-123.71557700000,39.10856800000,,BLM,Northern California
349,379-031,379-031-08,ME-390-12,Bonee Cliffs,8,Bonee Cliffs-8,Mendocino,Subcolony,,-123.71424300000,39.10836300020,,,Northern California
350,379-031,379-031-09,ME-390-12,Bonee Cliffs,9,Bonee Cliffs-9,Mendocino,Subcolony,,-123.71126800000,39.10653700020,,,Northern California
351,379-031,379-031-10,ME-390-12,Bonee Cliffs,10,Bonee Cliffs-10,Mendocino,Subcolony,,-123.71085800000,39.10553199980,,,Northern California
352,379-031,379-031-11,ME-390-12,Bonee Cliffs,11,Bonee Cliffs-11,Mendocino,Subcolony,,-123.70934000000,39.10442399970,,,Northern California
353,379-031,379-031-12,ME-390-12,Bonee Cliffs,12,Bonee Cliffs-12,Mendocino,Subcolony,,-123.71178100000,39.10194199980,,,Northern California
354,379-031,379-031-13,ME-390-12,Bonee Cliffs,13,Bonee Cliffs-13,Mendocino,Subcolony,,-123.71063200000,39.09802399990,,BLM,Northern California
355,379-031,379-031-99,ME-390-12,Bonee Cliffs,99,Bonee Cliffs Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.71719700000,39.10998400020,,,Northern California
356,379-032,379-032-01,ME-390-14,Three-three-three (333) Point,1,Three-three-three (333) Point-1,Mendocino,Subcolony,,-123.70768500000,39.08872699970,,,Northern California
357,379-032,379-032-02,ME-390-14,Three-three-three (333) Point,2,Three-three-three (333) Point-2,Mendocino,Subcolony,,-123.70557800000,39.08584400020,,,Northern California
358,379-032,379-032-03,ME-390-14,Three-three-three (333) Point,3,Three-three-three (333) Point-3,Mendocino,Subcolony,,-123.70336100000,39.08265699970,,,Northern California
359,379-032,379-032-04,ME-390-14,Three-three-three (333) Point,4,Three-three-three (333) Point-4,Mendocino,Subcolony,,-123.70519000000,39.08113299980,,,Northern California
360,379-032,379-032-05,ME-390-14,Three-three-three (333) Point,5,Three-three-three (333) Point-5,Mendocino,Subcolony,,-123.70582800000,39.08066099990,,,Northern California
361,379-032,379-032-06,ME-390-14,Three-three-three (333) Point,6,Three-three-three (333) Point-6,Mendocino,Subcolony,,-123.70546700000,39.07985799980,,,Northern California
362,379-032,379-032-99,ME-390-14,Three-three-three (333) Point,99,Three-three-three (333) Point Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.70740800000,39.08426400000,,,Northern California
363,379-033,379-033-01,,Bridgeport Landing,1,Bridgeport Landing-1,Mendocino,Subcolony,,-123.69601400000,39.05995900010,,BLM,Northern California
364,379-033,379-033-99,,Bridgeport Landing,99,Bridgeport Landing Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.69776400000,39.06235300000,,,Northern California
365,379-034,379-034-00,,Mallo Pass Creek,0,Mallo Pass Creek,Mendocino,"Colony, no subcolonies",,-123.69450500000,39.03767399980,,,Northern California
366,379-035,379-035-01,,Noyo Bay,1,Noyo Bay-1,Mendocino,Subcolony,,-123.81046200000,39.43025200000,,,Northern California
367,379-035,379-035-02,,Noyo Bay,2,Noyo Bay-2,Mendocino,Subcolony,,-123.81088900000,39.43016900010,,,Northern California
368,379-035,379-035-03,,Noyo Bay,3,Noyo Bay-3,Mendocino,Subcolony,,-123.80684200000,39.42715300030,,,Northern California
369,379-035,379-035-04,,Noyo Bay,4,Noyo Bay-4,Mendocino,Subcolony,,-123.81022700000,39.42711500020,,,Northern California
370,379-035,379-035-05,,Noyo Bay,5,Noyo Bay-5,Mendocino,Subcolony,,-123.81332000000,39.42573300010,,BLM,Northern California
371,379-035,379-035-06,,Noyo Bay,6,Noyo Bay-6,Mendocino,Subcolony,,-123.81923400000,39.42419700000,,,Northern California
372,379-035,379-035-99,,Noyo Bay,99,Noyo Bay Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.81892488700,39.42689563670,,,Northern California
373,379-036,379-036-01,,Mitchell Creek to Caspar Point,1,Mitchell Creek to Caspar Point-1,Mendocino,Subcolony,,-123.82108400000,39.39824000010,,,Northern California
374,379-036,379-036-02,,Mitchell Creek to Caspar Point,2,Mitchell Creek to Caspar Point-2,Mendocino,Subcolony,,-123.81964700000,39.38931299970,,,Northern California
375,379-036,379-036-03,,Mitchell Creek to Caspar Point,3,Mitchell Creek to Caspar Point-3,Mendocino,Subcolony,,-123.81977300000,39.37854400010,,,Northern California
376,379-036,379-036-04,,Mitchell Creek to Caspar Point,4,Mitchell Creek to Caspar Point-4,Mendocino,Subcolony,,-123.82302600000,39.37516500010,,,Northern California
377,379-036,379-036-05,,Mitchell Creek to Caspar Point,5,Mitchell Creek to Caspar Point-5,Mendocino,Subcolony,,-123.82401000000,39.36994500000,,,Northern California
378,379-036,379-036-06,,Mitchell Creek to Caspar Point,6,Mitchell Creek to Caspar Point-6,Mendocino,Subcolony,,-123.82532100000,39.36926400000,,,Northern California
379,379-036,379-036-99,,Mitchell Creek to Caspar Point,99,Mitchell Creek to Caspar Point Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.82282216600,39.38322277570,,,Northern California
380,379-037,379-037-01,,Caspar Anchorage to Point Cabrillo,1,Caspar Anchorage to Point Cabrillo-1,Mendocino,Subcolony,,-123.82516700000,39.36172500000,,,Northern California
381,379-037,379-037-02,,Caspar Anchorage to Point Cabrillo,2,Caspar Anchorage to Point Cabrillo-2,Mendocino,Subcolony,,-123.82547000000,39.35801799970,,BLM,Northern California
382,379-037,379-037-03,,Caspar Anchorage to Point Cabrillo,3,Caspar Anchorage to Point Cabrillo-3,Mendocino,Subcolony,,-123.82458700000,39.35738799980,,BLM,Northern California
383,379-037,379-037-04,,Caspar Anchorage to Point Cabrillo,4,Caspar Anchorage to Point Cabrillo-4,Mendocino,Subcolony,,-123.82226700000,39.35564800030,,,Northern California
384,379-037,379-037-99,,Caspar Anchorage to Point Cabrillo,99,Caspar Anchorage to Point Cabrillo Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.82619904800,39.35996510800,,,Northern California
385,379-038,379-038-01,,Mendocino Bay South,1,Mendocino Bay South-1,Mendocino,Subcolony,,-123.80194800000,39.29239600030,,,Northern California
386,379-038,379-038-02,,Mendocino Bay South,2,Mendocino Bay South-2,Mendocino,Subcolony,,-123.80401500000,39.28963999980,,BLM,Northern California
387,379-038,379-038-03,,Mendocino Bay South,3,Mendocino Bay South-3,Mendocino,Subcolony,,-123.80351900000,39.28451299980,,,Northern California
388,379-038,379-038-99,,Mendocino Bay South,99,Mendocino Bay South Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.80566900000,39.28828899990,,,Northern California
389,404-001,404-001-01,,Sea Lion Rock (ME),1,Sea Lion Rock (ME)-1,Mendocino,Subcolony,,-123.72981500000,38.93797200020,,,Northern California
390,404-001,404-001-02,,Sea Lion Rock (ME),2,Sea Lion Rock (ME)-2,Mendocino,Subcolony,,-123.72966800000,38.93657100010,,,Northern California
391,404-001,404-001-03,,Sea Lion Rock (ME),3,Sea Lion Rock (ME)-3,Mendocino,Subcolony,,-123.73052600000,38.93709400020,,BLM,Northern California
392,404-001,404-001-04,,Sea Lion Rock (ME),4,Sea Lion Rock (ME)-4,Mendocino,Subcolony,,-123.73096500000,38.93663399980,,,Northern California
393,404-001,404-001-05,,Sea Lion Rock (ME),5,Sea Lion Rock (ME)-5,Mendocino,Subcolony,,-123.73031700000,38.93506600010,,,Northern California
394,404-001,404-001-99,,Sea Lion Rock (ME),99,Sea Lion Rock (ME) Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.73326218700,38.93684779300,,,Northern California
395,404-002,404-002-01,,Iverson Point,1,Iverson Point-1,Mendocino,Subcolony,,-123.64754300000,38.84671000020,,,Northern California
396,404-002,404-002-02,,Iverson Point,2,Iverson Point-2,Mendocino,Subcolony,,-123.64591000000,38.84580200000,,,Northern California
397,404-002,404-002-03,,Iverson Point,3,Iverson Point-3,Mendocino,Subcolony,,-123.64463900000,38.84441100000,,BLM,Northern California
398,404-002,404-002-04,,Iverson Point,4,Iverson Point-4,Mendocino,Subcolony,,-123.64497200000,38.84392699970,,,Northern California
399,404-002,404-002-05,,Iverson Point,5,Iverson Point-5,Mendocino,Subcolony,,-123.64379200000,38.84314000020,,,Northern California
400,404-002,404-002-99,,Iverson Point,99,Iverson Point Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.64745200000,38.84344300020,,,Northern California
401,404-003,404-003-01,ME-384-10,Fish Rocks,1,Fish Rocks-1,Mendocino,Subcolony,,-123.59353900000,38.80020300030,,BLM,Northern California
402,404-003,404-003-02,ME-384-10,Fish Rocks,2,Fish Rocks-2,Mendocino,Subcolony,,-123.59135300000,38.79980900020,,BLM,Northern California
403,404-003,404-003-03,ME-384-10,Fish Rocks,3,Fish Rocks-3,Mendocino,Subcolony,,-123.59115200000,38.79756899970,,BLM,Northern California
404,404-003,404-003-99,ME-384-10,Fish Rocks,99,Fish Rocks Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.59391000000,38.79891099980,,,Northern California
405,404-004,404-004-00,SO-384-01,Gualala Point Island,0,Gualala Point Island,Sonoma,"Colony, no subcolonies",,-123.52920900000,38.75092000030,,BLM,Northern California
406,404-005,404-005-01,SO-382-09,Russian River Rocks,1,Russian River Rocks-1,Sonoma,Subcolony,,-123.15547100000,38.45814200000,,BLM,Northern California
407,404-005,404-005-02,SO-382-09,Russian River Rocks,2,Russian River Rocks-2,Sonoma,Subcolony,,-123.14771600000,38.45940600020,,BLM,Northern California
408,404-005,404-005-03,SO-382-09,Russian River Rocks,3,Russian River Rocks-3,Sonoma,Subcolony,,-123.14661200000,38.45784600010,,,Northern California
409,404-005,404-005-04,SO-382-09,Russian River Rocks,4,Russian River Rocks-4,Sonoma,Subcolony,,-123.14459500000,38.45695700030,,,Northern California
410,404-005,404-005-05,SO-382-09,Russian River Rocks,5,Russian River Rocks-5,Sonoma,Subcolony,,-123.14526700000,38.45621300020,,BLM,Northern California
411,404-005,404-005-06,SO-382-09,Russian River Rocks,6,Russian River Rocks-6,Sonoma,Subcolony,,-123.14440300000,38.45582900010,,,Northern California
412,404-005,404-005-07,SO-382-09,Russian River Rocks,7,Russian River Rocks-7,Sonoma,Subcolony,,-123.14303400000,38.45489300000,,BLM,Northern California
413,404-005,404-005-08,SO-382-09,Russian River Rocks,8,Russian River Rocks-8,Sonoma,Subcolony,,-123.14135400000,38.45510899980,,,Northern California
414,404-005,404-005-09,SO-382-09,Russian River Rocks,9,Russian River Rocks-9,Sonoma,Subcolony,,-123.13986800000,38.45498799990,,,Northern California
415,404-005,404-005-10,SO-382-09,Russian River Rocks,10,Russian River Rocks-10,Sonoma,Subcolony,,-123.14069100000,38.45300099980,,BLM,Northern California
416,404-005,404-005-11,SO-382-09,Russian River Rocks,11,Russian River Rocks-11,Sonoma,Subcolony,,-123.13527100000,38.45069199990,,BLM,Northern California
417,404-005,404-005-12,SO-382-09,Russian River Rocks,12,Russian River Rocks-12,Sonoma,Subcolony,,-123.14249800000,38.45286500010,,BLM,Northern California
418,404-005,404-005-99,SO-382-09,Russian River Rocks,99,Russian River Rocks Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.14386686000,38.45408911070,,,Northern California
419,404-006,404-006-00,SO-382-11,Arched Rock,0,Arched Rock,Sonoma,"Colony, no subcolonies",,-123.12677400000,38.43269399980,,BLM,Northern California
420,404-008,404-008-00,SO-380-02,Bodega Rock,0,Bodega Rock,Sonoma,"Colony, no subcolonies",,-123.04824700000,38.29572100020,,,Northern California
421,404-009,404-009-01,MA-380-02,Dillon Beach Rocks,1,Dillon Beach Rocks-1,Marin,Subcolony,,-122.99247100000,38.28085399990,,BLM,Northern California
422,404-009,404-009-02,MA-380-02,Dillon Beach Rocks,2,Dillon Beach Rocks-2,Marin,Subcolony,,-122.99209800000,38.27650599990,,BLM,Northern California
423,404-009,404-009-03,MA-380-02,Dillon Beach Rocks,3,Dillon Beach Rocks-3,Marin,Subcolony,,-122.98782500000,38.27353900000,,BLM,Northern California
424,404-009,404-009-04,MA-380-02,Dillon Beach Rocks,4,Dillon Beach Rocks-4,Marin,Subcolony,,-122.98784300000,38.27266200000,,BLM,Northern California
425,404-009,404-009-05,MA-380-02,Dillon Beach Rocks,5,Dillon Beach Rocks-5,Marin,Subcolony,,-122.98812300000,38.27228799990,,,Northern California
426,404-009,404-009-06,MA-380-02,Dillon Beach Rocks,6,Dillon Beach Rocks-6,Marin,Subcolony,,-122.98838500000,38.27225099990,,,Northern California
427,404-009,404-009-07,MA-380-02,Dillon Beach Rocks,7,Dillon Beach Rocks-7,Marin,Subcolony,,-122.98681700000,38.27238200000,,,Northern California
428,404-009,404-009-08,MA-380-02,Dillon Beach Rocks,8,Dillon Beach Rocks-8,Marin,Subcolony,,-122.98566000000,38.27219499980,,,Northern California
429,404-009,404-009-09,MA-380-02,Dillon Beach Rocks,9,Dillon Beach Rocks-9,Marin,Subcolony,,-122.98121900000,38.26999300000,,,Northern California
430,404-009,404-009-10,MA-380-02,Dillon Beach Rocks,10,Dillon Beach Rocks-10,Marin,Subcolony,,-122.97937200000,38.26581299970,,BLM,Northern California
431,404-009,404-009-11,MA-380-02,Dillon Beach Rocks,11,Dillon Beach Rocks-11,Marin,Subcolony,,-122.97933400000,38.26523499980,,BLM,Northern California
432,404-009,404-009-12,MA-380-02,Dillon Beach Rocks,12,Dillon Beach Rocks-12,Marin,Subcolony,,-122.97638600000,38.26230500020,,BLM,Northern California
433,404-009,404-009-99,MA-380-02,Dillon Beach Rocks,99,Dillon Beach Rocks Centroid,Marin,"Colony, centroid of subcolonies",,-122.98698100000,38.27131799980,,,Northern California
434,404-010,404-010-00,MA-380-04,Bird Rock (Tomales Point MA),0,Bird Rock (Tomales Point MA),Marin,"Colony, no subcolonies",,-122.99404300000,38.23013000000,,,Northern California
435,404-011,404-011-01,,Tomales Point,1,Tomales Point-1,Marin,Subcolony,,-122.98740400000,38.22610900020,,,Northern California
436,404-011,404-011-02,,Tomales Point,2,Tomales Point-2,Marin,Subcolony,,-122.98531800000,38.22487199980,,,Northern California
437,404-011,404-011-03,,Tomales Point,3,Tomales Point-3,Marin,Subcolony,,-122.97168700000,38.20655899980,,NPS,Northern California
438,404-011,404-011-99,,Tomales Point,99,Tomales Point Centroid,Marin,"Colony, centroid of subcolonies",,-122.98345100000,38.22137899990,,,Northern California
439,404-017,404-017-01,,Point Arena,1,Point Arena-1,Mendocino,Subcolony,,-123.73463400000,38.95608799990,,,Northern California
440,404-017,404-017-02,,Point Arena,2,Point Arena-2,Mendocino,Subcolony,,-123.73559600000,38.95694499970,,,Northern California
441,404-017,404-017-04,,Point Arena,4,Point Arena-4,Mendocino,Subcolony,,-123.73835600000,38.95477100020,,,Northern California
442,404-017,404-017-05,,Point Arena,5,Point Arena-5,Mendocino,Subcolony,,-123.74147100000,38.95604600000,,,Northern California
443,404-017,404-017-06,,Point Arena,6,Point Arena-6,Mendocino,Subcolony,,-123.74188900000,38.95479199990,,,Northern California
444,404-017,404-017-07,,Point Arena,7,Point Arena-7,Mendocino,Subcolony,,-123.73988200000,38.95337000030,,,Northern California
445,404-017,404-017-99,,Point Arena,99,Point Arena Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.74237000000,38.95659000010,,,Northern California
446,404-018,404-018-01,,Moat Cove,1,Moat Cove-1,Mendocino,Subcolony,,-123.68603700000,38.88960100020,,,Northern California
447,404-018,404-018-02,,Moat Cove,2,Moat Cove-2,Mendocino,Subcolony,,-123.68235200000,38.88649700030,,,Northern California
448,404-018,404-018-99,,Moat Cove,99,Moat Cove Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.68730900000,38.88770399970,,,Northern California
449,404-019,404-019-00,,Section 30 Cove,0,Section 30 Cove,Mendocino,"Colony, no subcolonies",,-123.67066100000,38.87719700020,,,Northern California
450,404-020,404-020-01,,Saunders Landing,1,Saunders Landing-1,Mendocino,Subcolony,,-123.65251500000,38.85684100000,,,Northern California
451,404-020,404-020-02,,Saunders Landing,2,Saunders Landing-2,Mendocino,Subcolony,,-123.65106300000,38.85324199990,,BLM,Northern California
452,404-020,404-020-03,,Saunders Landing,3,Saunders Landing-3,Mendocino,Subcolony,,-123.64955000000,38.85130600000,,BLM,Northern California
453,404-020,404-020-04,,Saunders Landing,4,Saunders Landing-4,Mendocino,Subcolony,,-123.64782600000,38.84846200010,,,Northern California
454,404-020,404-020-99,,Saunders Landing,99,Saunders Landing Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.65369846500,38.85248428490,,,Northern California
455,404-021,404-021-01,,Triplett Gulch,1,Triplett Gulch-1,Mendocino,Subcolony,,-123.61851500000,38.82736700030,,,Northern California
456,404-021,404-021-02,,Triplett Gulch,2,Triplett Gulch-2,Mendocino,Subcolony,,-123.61621300000,38.82821700010,,,Northern California
457,404-021,404-021-03,,Triplett Gulch,3,Triplett Gulch-3,Mendocino,Subcolony,,-123.60757800000,38.82046099990,,BLM,Northern California
458,404-021,404-021-04,,Triplett Gulch,4,Triplett Gulch-4,Mendocino,Subcolony,,-123.59937600000,38.81225900000,,,Northern California
459,404-021,404-021-05,,Triplett Gulch,5,Triplett Gulch-5,Mendocino,Subcolony,,-123.59857900000,38.81126200010,,,Northern California
460,404-021,404-021-06,,Triplett Gulch,6,Triplett Gulch-6,Mendocino,Subcolony,,-123.60231800000,38.80959100030,,,Northern California
461,404-021,404-021-99,,Triplett Gulch,99,Triplett Gulch Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.60881167100,38.81931526280,,,Northern California
462,404-022,404-022-01,ME-384-09,Fish Rock Cove,1,Fish Rock Cove-1,Mendocino,Subcolony,,-123.59886700000,38.80491199970,,BLM,Northern California
463,404-022,404-022-02,ME-384-09,Fish Rock Cove,2,Fish Rock Cove-2,Mendocino,Subcolony,,-123.59059000000,38.80336599970,,,Northern California
464,404-022,404-022-99,ME-384-09,Fish Rock Cove,99,Fish Rock Cove Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.59637400000,38.80491199970,,,Northern California
465,404-023,404-023-01,,Collins Landing to Gualala River,1,Collins Landing to Gualala River-1,Mendocino,Subcolony,,-123.57108300000,38.79612000010,,,Northern California
466,404-023,404-023-02,,Collins Landing to Gualala River,2,Collins Landing to Gualala River-2,Mendocino,Subcolony,,-123.56724100000,38.79376199980,,,Northern California
467,404-023,404-023-03,,Collins Landing to Gualala River,3,Collins Landing to Gualala River-3,Mendocino,Subcolony,,-123.56153600000,38.78800999970,,,Northern California
468,404-023,404-023-04,,Collins Landing to Gualala River,4,Collins Landing to Gualala River-4,Mendocino,Subcolony,,-123.56032800000,38.78469199970,,BLM,Northern California
469,404-023,404-023-05,,Collins Landing to Gualala River,5,Collins Landing to Gualala River-5,Mendocino,Subcolony,,-123.55049900000,38.78210599990,,,Northern California
470,404-023,404-023-06,,Collins Landing to Gualala River,6,Collins Landing to Gualala River-6,Mendocino,Subcolony,,-123.55023400000,38.78017600020,,,Northern California
471,404-023,404-023-07,,Collins Landing to Gualala River,7,Collins Landing to Gualala River-7,Mendocino,Subcolony,,-123.54727600000,38.77905999970,,,Northern California
472,404-023,404-023-08,,Collins Landing to Gualala River,8,Collins Landing to Gualala River-8,Mendocino,Subcolony,,-123.54284900000,38.77675799990,,,Northern California
473,404-023,404-023-09,,Collins Landing to Gualala River,9,Collins Landing to Gualala River-9,Mendocino,Subcolony,,-123.54256600000,38.77452700000,,BLM,Northern California
474,404-023,404-023-10,,Collins Landing to Gualala River,10,Collins Landing to Gualala River-10,Mendocino,Subcolony,,-123.53674000000,38.76985200010,,,Northern California
475,404-023,404-023-99,,Collins Landing to Gualala River,99,Collins Landing to Gualala River Centroid,Mendocino,"Colony, centroid of subcolonies",,-123.55558800000,38.78010300030,,,Northern California
476,404-024,404-024-00,,Delmar Point,0,Delmar Point,Sonoma,"Colony, no subcolonies",,-123.51741100000,38.74636000000,,,Northern California
477,404-025,404-025-01,,Sea Ranch and Colonies North,1,Sea Ranch and Colonies North-1,Sonoma,Subcolony,,-123.48108200000,38.72491700000,,BLM,Northern California
478,404-025,404-025-02,,Sea Ranch and Colonies North,2,Sea Ranch and Colonies North-2,Sonoma,Subcolony,,-123.47173800000,38.72205599990,,,Northern California
479,404-025,404-025-03,,Sea Ranch and Colonies North,3,Sea Ranch and Colonies North-3,Sonoma,Subcolony,,-123.46427000000,38.71802000010,,,Northern California
480,404-025,404-025-04,,Sea Ranch and Colonies North,4,Sea Ranch and Colonies North-4,Sonoma,Subcolony,,-123.44449000000,38.70016100030,,BLM,Northern California
481,404-025,404-025-05,,Sea Ranch and Colonies North,5,Sea Ranch and Colonies North-5,Sonoma,Subcolony,,-123.43938200000,38.69209000010,,BLM,Northern California
482,404-025,404-025-06,,Sea Ranch and Colonies North,6,Sea Ranch and Colonies North-6,Sonoma,Subcolony,,-123.43799100000,38.69325999970,,,Northern California
483,404-025,404-025-07,,Sea Ranch and Colonies North,7,Sea Ranch and Colonies North-7,Sonoma,Subcolony,,-123.43521000000,38.68999199990,,,Northern California
484,404-025,404-025-99,,Sea Ranch and Colonies North,99,Sea Ranch and Colonies North Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.45668400000,38.70907099990,,,Northern California
485,404-026,404-026-01,,Black Point to Stewarts Point,1,Black Point to Stewarts Point-1,Sonoma,Subcolony,,-123.42954700000,38.67790199990,,,Northern California
486,404-026,404-026-02,,Black Point to Stewarts Point,2,Black Point to Stewarts Point-2,Sonoma,Subcolony,,-123.42390200000,38.67535099980,,,Northern California
487,404-026,404-026-03,,Black Point to Stewarts Point,3,Black Point to Stewarts Point-3,Sonoma,Subcolony,,-123.41637500000,38.66987300010,,,Northern California
488,404-026,404-026-04,,Black Point to Stewarts Point,4,Black Point to Stewarts Point-4,Sonoma,Subcolony,,-123.41177500000,38.66330799970,,,Northern California
489,404-026,404-026-05,,Black Point to Stewarts Point,5,Black Point to Stewarts Point-5,Sonoma,Subcolony,,-123.40897300000,38.66012999980,,,Northern California
490,404-026,404-026-99,,Black Point to Stewarts Point,99,Black Point to Stewarts Point Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.41921800000,38.66824300000,,,Northern California
491,404-027,404-027-01,,Stewarts Point to Rocky Point,1,Stewarts Point to Rocky Point-1,Sonoma,Subcolony,,-123.40477100000,38.65213600000,,,Northern California
492,404-027,404-027-02,,Stewarts Point to Rocky Point,2,Stewarts Point to Rocky Point-2,Sonoma,Subcolony,,-123.39621700000,38.64160699980,,,Northern California
493,404-027,404-027-03,,Stewarts Point to Rocky Point,3,Stewarts Point to Rocky Point-3,Sonoma,Subcolony,,-123.39327300000,38.63651500000,,,Northern California
494,404-027,404-027-04,,Stewarts Point to Rocky Point,4,Stewarts Point to Rocky Point-4,Sonoma,Subcolony,,-123.38870100000,38.63308600030,,,Northern California
495,404-027,404-027-99,,Stewarts Point to Rocky Point,99,Stewarts Point to Rocky Point Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.40045517500,38.64313578570,,,Northern California
496,404-028,404-028-01,,Horseshoe Cove,1,Horseshoe Cove-1,Sonoma,Subcolony,,-123.38220700000,38.62496300020,,,Northern California
497,404-028,404-028-02,,Horseshoe Cove,2,Horseshoe Cove-2,Sonoma,Subcolony,,-123.36801300000,38.61060000000,,,Northern California
498,404-028,404-028-03,,Horseshoe Cove,3,Horseshoe Cove-3,Sonoma,Subcolony,,-123.36994100000,38.60853200020,,,Northern California
499,404-028,404-028-04,,Horseshoe Cove,4,Horseshoe Cove-4,Sonoma,Subcolony,,-123.37195300000,38.60682800030,,,Northern California
500,404-028,404-028-99,,Horseshoe Cove,99,Horseshoe Cove Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.37928052900,38.61839928620,,,Northern California
501,404-029,404-029-01,,Cannon Gulch to Stump Beach,1,Cannon Gulch to Stump Beach-1,Sonoma,Subcolony,,-123.34900700000,38.59481400000,,,Northern California
502,404-029,404-029-02,,Cannon Gulch to Stump Beach,2,Cannon Gulch to Stump Beach-2,Sonoma,Subcolony,,-123.33800000000,38.58299599980,,,Northern California
503,404-029,404-029-99,,Cannon Gulch to Stump Beach,99,Cannon Gulch to Stump Beach Centroid,Sonoma,"Colony, centroid of subcolonies",,-123.34645800000,38.58855799970,,,Northern California
504,404-030,404-030-01,,Gerstle Cove to Stillwater Cove,1,Gerstle Cove to Stillwater Cove-1,Sonoma,Subcolony,,-123.31703000000,38.55828300000,,,Northern California
505,404-030,404-030-02,,Gerstle Cove to Stillwater Cove,2,Gerstle Cove to Stillwater Cove-2,Sonoma,Subcolony,,-123.31581600000,38.55826500010,,,Northern California
506,404-030,404-030-03,,Gerstle Cove to Stillwater Cove,3,Gerstle Cove to Stillwater Cove-3,Sonoma,Subcolony,,-123.31415700000,38.55734900000,,,Northern California
507,404-030,404-030-04,,Gerstle Cove to Stillwater Cove,4,Gerstle Cove to Stillwater Cove-4,Sonoma,Subcolony,,-123.31136900000,38.55668999980,,,Northern California
508,404-030,404-030-05,,Gerstle Cove to Stillwater Cove,5,Gerstle Cove to Stillwater Cove-5,Sonoma,Subcolony,,-123.30962400000,38.55583900010,,,Northern California
509,404-030,404-030-06,,Gerstle Cove to Stillwater Cove,6,Gerstle Cove to Stillwater Cove-6,Sonoma,Subcolony,,-123.30811300000,38.55577500030,,,Northern California
